,,Subject,,,294,
,,Protocol,,,IRTT_long,
,,Type,,,Master,
,,Channel,,,3,
,,Master,,,,
,,Date,,,2023-07-20,
,,Time,,,09:56:06,487,
,,Clock,,,5,
,,Time Warp,,,1x,
0,0,000,Start,,,,
1,0,000,Entry,0,Ready,,
2,0,005,Exit,0,Ready,Time,
3,0,005,Entry,1,MagEntry,,
4,0,005,Reg,2,ComptNbessai,    1,000,
5,0,005,Reg,12,Accuracy,      NaN,
6,0,005,Reg,13,Omission,    0,000,
7,1,990,Input,1,On1A1,,
8,1,990,Exit,1,MagEntry,1,
9,1,990,Entry,2,ITI2sec,,
10,2,975,Input,33,Off1A1,,
11,2,990,Exit,2,ITI2sec,Time,
12,2,990,List,,ITItime,   23,000,
13,2,990,Entry,23,sec3,,
14,2,990,Reg,20,stage3,    1,000,
15,9,995,Exit,23,sec3,Time,
16,9,995,Entry,3,RandomHole,,
17,10,995,Exit,3,RandomHole,Time,
18,10,995,List,,Pseudo1a5,   14,000,
19,10,995,Entry,14,hole5,,
20,10,995,Reg,11,HoleNumber,    5,000,
21,11,940,Input,3,On1A3,,
22,11,940,Exit,14,hole5,3,
23,11,940,Entry,18,IncorrectResp,,
24,11,940,Reg,4,ComptIncR,    1,000,
25,11,940,Reg,1,ComptOmision,    0,000,
26,11,950,Exit,18,IncorrectResp,Time,
27,11,950,Entry,5,TimeOut,,
28,12,275,Input,35,Off1A3,,
29,12,310,Input,4,On1A4,,
30,16,951,Exit,5,TimeOut,Time,
31,16,951,Entry,1,MagEntry,,
32,16,951,Reg,2,ComptNbessai,    2,000,
33,16,951,Reg,12,Accuracy,    0,000,
34,16,951,Reg,13,Omission,    0,000,
35,17,880,Input,1,On1A1,,
36,17,880,Exit,1,MagEntry,1,
37,17,880,Entry,2,ITI2sec,,
38,18,215,Input,33,Off1A1,,
39,18,880,Exit,2,ITI2sec,Time,
40,18,880,List,,ITItime,   25,000,
41,18,880,Entry,25,sec4,,
42,18,880,Reg,21,stage4,    1,000,
43,21,315,Input,3,On1A3,,
44,21,315,Input,4,On1A4,,
45,21,315,Exit,25,sec4,3,
46,21,315,Entry,26,prematuresec8,,
47,21,315,Reg,17,premsec4,    1,000,
48,21,320,Exit,26,prematuresec8,Time,
49,21,320,Entry,4,Premature,,
50,21,320,Reg,5,ComptPremat,    1,000,
51,21,325,Exit,4,Premature,Time,
52,21,325,Entry,5,TimeOut,,
53,21,975,Input,35,Off1A3,,
54,22,005,Input,2,On1A2,,
55,22,005,Input,3,On1A3,,
56,22,345,Input,34,Off1A2,,
57,22,345,Input,35,Off1A3,,
58,26,330,Exit,5,TimeOut,Time,
59,26,330,Entry,1,MagEntry,,
60,26,330,Reg,2,ComptNbessai,    3,000,
61,26,330,Reg,12,Accuracy,    0,000,
62,26,330,Reg,13,Omission,    0,000,
63,35,700,Input,1,On1A1,,
64,35,700,Exit,1,MagEntry,1,
65,35,700,Entry,2,ITI2sec,,
66,36,365,Input,33,Off1A1,,
67,36,700,Exit,2,ITI2sec,Time,
68,36,700,List,,ITItime,   19,000,
69,36,700,Entry,19,sec5,,
70,36,700,Reg,18,stage1,    1,000,
71,41,705,Exit,19,sec5,Time,
72,41,705,Entry,3,RandomHole,,
73,42,705,Exit,3,RandomHole,Time,
