,,Subject,,,296,
,,Protocol,,,IRTT_long,
,,Type,,,Master,
,,Channel,,,6,
,,Master,,,,
,,Date,,,2023-07-20,
,,Time,,,09:57:12,372,
,,Clock,,,5,
,,Time Warp,,,1x,
0,0,000,Start,,,,
1,0,000,Entry,0,Ready,,
2,0,005,Exit,0,Ready,Time,
3,0,005,Entry,1,MagEntry,,
4,0,005,Reg,2,ComptNbessai,    1,000,
5,0,005,Reg,12,Accuracy,      NaN,
6,0,005,Reg,13,Omission,    0,000,
7,4,550,Input,1,On1A1,,
8,4,550,Exit,1,MagEntry,1,
9,4,550,Entry,2,ITI2sec,,
10,4,890,Input,33,Off1A1,,
11,5,550,Exit,2,ITI2sec,Time,
12,5,550,List,,ITItime,   25,000,
13,5,550,Entry,25,sec4,,
14,5,550,Reg,21,stage4,    1,000,
15,9,555,Exit,25,sec4,Time,
16,9,555,Entry,3,RandomHole,,
17,10,555,Exit,3,RandomHole,Time,
18,10,555,List,,Pseudo1a5,   10,000,
19,10,555,Entry,10,hole3,,
20,10,555,Reg,11,HoleNumber,    3,000,
21,11,555,Exit,10,hole3,Time,
22,11,555,Entry,11,Holdhole3,,
23,11,615,Input,4,On1A4,,
24,11,615,Exit,11,Holdhole3,4,
25,11,615,Entry,18,IncorrectResp,,
26,11,615,Reg,4,ComptIncR,    1,000,
27,11,615,Reg,1,ComptOmision,    0,000,
28,11,625,Exit,18,IncorrectResp,Time,
29,11,625,Entry,5,TimeOut,,
30,11,955,Input,36,Off1A4,,
31,16,630,Exit,5,TimeOut,Time,
32,16,630,Entry,1,MagEntry,,
33,16,630,Reg,2,ComptNbessai,    2,000,
34,16,630,Reg,12,Accuracy,    0,000,
35,16,630,Reg,13,Omission,    0,000,
36,20,095,Input,1,On1A1,,
37,20,095,Exit,1,MagEntry,1,
38,20,095,Entry,2,ITI2sec,,
39,20,435,Input,33,Off1A1,,
40,20,450,Input,1,On1A1,,
41,20,790,Input,33,Off1A1,,
42,21,095,Exit,2,ITI2sec,Time,
43,21,095,List,,ITItime,   19,000,
44,21,095,Entry,19,sec5,,
45,21,095,Reg,18,stage1,    1,000,
46,24,205,Input,1,On1A1,,
47,25,195,Input,33,Off1A1,,
48,26,100,Exit,19,sec5,Time,
49,26,100,Entry,3,RandomHole,,
50,27,100,Exit,3,RandomHole,Time,
51,27,100,List,,Pseudo1a5,    8,000,
52,27,100,Entry,8,hole2,,
53,27,100,Reg,11,HoleNumber,    2,000,
54,28,100,Exit,8,hole2,Time,
55,28,100,Entry,9,Holdhole2,,
56,28,585,Input,3,On1A3,,
57,28,585,Exit,9,Holdhole2,3,
58,28,585,Entry,17,CorrectResp,,
59,28,585,Reg,3,ComptCR,    1,000,
60,28,585,Reg,6,Reward,    1,000,
61,28,585,Reg,7,CptReward,    1,000,
62,28,585,Reg,1,ComptOmision,    0,000,
63,28,590,Exit,17,CorrectResp,Time,
64,28,590,Entry,1,MagEntry,,
65,28,590,Reg,2,ComptNbessai,    3,000,
66,28,590,Reg,12,Accuracy,   50,000,
67,28,590,Reg,13,Omission,    0,000,
68,28,920,Input,35,Off1A3,,
69,30,475,Input,1,On1A1,,
70,30,475,Exit,1,MagEntry,1,
71,30,475,Entry,2,ITI2sec,,
72,31,465,Input,33,Off1A1,,
73,31,476,Exit,2,ITI2sec,Time,
74,31,476,List,,ITItime,   23,000,
75,31,476,Entry,23,sec3,,
76,31,476,Reg,20,stage3,    1,000,
77,35,425,Input,3,On1A3,,
78,35,425,Input,4,On1A4,,
79,35,425,Exit,23,sec3,3,
80,35,425,Entry,24,prematuresec7,,
81,35,425,Reg,16,premsec3,    1,000,
82,35,435,Exit,24,prematuresec7,Time,
83,35,435,Entry,4,Premature,,
84,35,435,Reg,5,ComptPremat,    1,000,
85,35,440,Exit,4,Premature,Time,
86,35,440,Entry,5,TimeOut,,
87,35,760,Input,35,Off1A3,,
88,35,760,Input,36,Off1A4,,
89,39,360,Input,1,On1A1,,
90,40,350,Input,33,Off1A1,,
91,40,445,Exit,5,TimeOut,Time,
92,40,445,Entry,1,MagEntry,,
93,40,445,Reg,2,ComptNbessai,    4,000,
94,40,445,Reg,12,Accuracy,   50,000,
95,40,445,Reg,13,Omission,    0,000,
96,45,850,Input,2,On1A2,,
97,46,185,Input,34,Off1A2,,
98,60,095,Input,2,On1A2,,
99,60,435,Input,34,Off1A2,,
100,60,680,Input,2,On1A2,,
101,61,020,Input,34,Off1A2,,
102,67,605,Input,1,On1A1,,
103,67,605,Exit,1,MagEntry,1,
104,67,605,Entry,2,ITI2sec,,
105,67,940,Input,33,Off1A1,,
106,67,965,Input,1,On1A1,,
107,68,605,Exit,2,ITI2sec,Time,
108,68,605,List,,ITItime,   21,000,
109,68,605,Entry,21,sec2,,
110,68,605,Reg,19,stage2,    1,000,
111,69,285,Input,33,Off1A1,,
112,73,650,Input,2,On1A2,,
113,73,650,Input,3,On1A3,,
114,73,650,Exit,21,sec2,2,
115,73,650,Entry,22,prematuresec6,,
116,73,650,Reg,15,premsec2,    1,000,
117,73,655,Exit,22,prematuresec6,Time,
118,73,655,Entry,4,Premature,,
119,73,655,Reg,5,ComptPremat,    2,000,
120,73,660,Exit,4,Premature,Time,
121,73,660,Entry,5,TimeOut,,
122,73,990,Input,34,Off1A2,,
123,73,990,Input,35,Off1A3,,
124,77,405,Input,1,On1A1,,
125,77,745,Input,33,Off1A1,,
126,78,665,Exit,5,TimeOut,Time,
127,78,665,Entry,1,MagEntry,,
128,78,665,Reg,2,ComptNbessai,    5,000,
129,78,665,Reg,12,Accuracy,   50,000,
130,78,665,Reg,13,Omission,    0,000,
131,87,525,Input,1,On1A1,,
132,87,525,Exit,1,MagEntry,1,
133,87,525,Entry,2,ITI2sec,,
134,88,515,Input,33,Off1A1,,
135,88,525,Exit,2,ITI2sec,Time,
136,88,525,List,,ITItime,   19,000,
137,88,525,Entry,19,sec5,,
138,88,525,Reg,18,stage1,    2,000,
139,93,530,Exit,19,sec5,Time,
140,93,530,Entry,3,RandomHole,,
141,94,030,Input,3,On1A3,,
142,94,030,Input,4,On1A4,,
143,94,370,Input,35,Off1A3,,
144,94,370,Input,36,Off1A4,,
145,94,530,Exit,3,RandomHole,Time,
146,94,530,List,,Pseudo1a5,   12,000,
147,94,530,Entry,12,hole4,,
148,94,530,Reg,11,HoleNumber,    4,000,
149,95,515,Input,2,On1A2,,
150,95,515,Input,3,On1A3,,
151,95,515,Exit,12,hole4,3,
152,95,515,Entry,17,CorrectResp,,
153,95,515,Reg,3,ComptCR,    2,000,
154,95,515,Reg,6,Reward,    2,000,
155,95,515,Reg,7,CptReward,    2,000,
156,95,515,Reg,1,ComptOmision,    0,000,
157,95,520,Exit,17,CorrectResp,Time,
158,95,520,Entry,1,MagEntry,,
159,95,520,Reg,2,ComptNbessai,    6,000,
160,95,520,Reg,12,Accuracy,   66,667,
161,95,520,Reg,13,Omission,    0,000,
162,95,855,Input,34,Off1A2,,
163,95,855,Input,35,Off1A3,,
164,96,590,Input,1,On1A1,,
165,96,590,Exit,1,MagEntry,1,
166,96,590,Entry,2,ITI2sec,,
167,97,590,Exit,2,ITI2sec,Time,
168,97,590,List,,ITItime,   23,000,
169,97,590,Entry,23,sec3,,
170,97,590,Reg,20,stage3,    2,000,
171,97,905,Input,33,Off1A1,,
172,103,635,Input,1,On1A1,,
173,103,970,Input,33,Off1A1,,
174,104,595,Exit,23,sec3,Time,
175,104,595,Entry,3,RandomHole,,
176,105,595,Exit,3,RandomHole,Time,
177,105,595,List,,Pseudo1a5,   14,000,
178,105,595,Entry,14,hole5,,
179,105,595,Reg,11,HoleNumber,    5,000,
180,106,320,Input,3,On1A3,,
181,106,320,Input,4,On1A4,,
182,106,320,Exit,14,hole5,4,
183,106,320,Entry,17,CorrectResp,,
184,106,320,Reg,3,ComptCR,    3,000,
185,106,320,Reg,6,Reward,    3,000,
186,106,320,Reg,7,CptReward,    3,000,
187,106,320,Reg,1,ComptOmision,    0,000,
188,106,325,Exit,17,CorrectResp,Time,
189,106,325,Entry,1,MagEntry,,
190,106,325,Reg,2,ComptNbessai,    7,000,
191,106,325,Reg,12,Accuracy,   75,000,
192,106,325,Reg,13,Omission,    0,000,
193,106,660,Input,35,Off1A3,,
194,106,660,Input,36,Off1A4,,
195,107,345,Input,1,On1A1,,
196,107,345,Exit,1,MagEntry,1,
197,107,345,Entry,2,ITI2sec,,
198,108,010,Input,33,Off1A1,,
199,108,045,Input,1,On1A1,,
200,108,345,Exit,2,ITI2sec,Time,
201,108,345,List,,ITItime,   25,000,
202,108,345,Entry,25,sec4,,
203,108,345,Reg,21,stage4,    2,000,
204,109,365,Input,33,Off1A1,,
205,111,470,Input,2,On1A2,,
206,111,470,Exit,25,sec4,2,
207,111,470,Entry,26,prematuresec8,,
208,111,470,Reg,17,premsec4,    1,000,
209,111,475,Exit,26,prematuresec8,Time,
210,111,475,Entry,4,Premature,,
211,111,475,Reg,5,ComptPremat,    3,000,
212,111,480,Exit,4,Premature,Time,
213,111,480,Entry,5,TimeOut,,
214,112,135,Input,34,Off1A2,,
215,114,290,Input,3,On1A3,,
216,114,290,Input,4,On1A4,,
217,114,630,Input,35,Off1A3,,
218,114,630,Input,36,Off1A4,,
219,116,485,Exit,5,TimeOut,Time,
220,116,485,Entry,1,MagEntry,,
221,116,485,Reg,2,ComptNbessai,    8,000,
222,116,485,Reg,12,Accuracy,   75,000,
223,116,485,Reg,13,Omission,    0,000,
224,125,215,Input,1,On1A1,,
225,125,215,Exit,1,MagEntry,1,
226,125,215,Entry,2,ITI2sec,,
227,125,555,Input,33,Off1A1,,
228,125,590,Input,1,On1A1,,
229,126,215,Exit,2,ITI2sec,Time,
230,126,215,List,,ITItime,   21,000,
231,126,215,Entry,21,sec2,,
232,126,215,Reg,19,stage2,    2,000,
233,126,580,Input,33,Off1A1,,
234,132,220,Exit,21,sec2,Time,
235,132,220,Entry,3,RandomHole,,
236,133,000,Input,1,On1A1,,
237,133,220,Exit,3,RandomHole,Time,
238,133,220,List,,Pseudo1a5,    6,000,
239,133,220,Entry,6,hole1,,
240,133,220,Reg,11,HoleNumber,    1,000,
241,133,665,Input,33,Off1A1,,
242,134,220,Exit,6,hole1,Time,
243,134,220,Entry,7,Holdhole1,,
244,134,915,Input,2,On1A2,,
245,134,915,Exit,7,Holdhole1,2,
246,134,915,Entry,17,CorrectResp,,
247,134,915,Reg,3,ComptCR,    4,000,
248,134,915,Reg,6,Reward,    4,000,
249,134,915,Reg,7,CptReward,    4,000,
250,134,915,Reg,1,ComptOmision,    0,000,
251,134,920,Exit,17,CorrectResp,Time,
252,134,920,Entry,1,MagEntry,,
253,134,920,Reg,2,ComptNbessai,    9,000,
254,134,920,Reg,12,Accuracy,   80,000,
255,134,920,Reg,13,Omission,    0,000,
256,135,580,Input,34,Off1A2,,
257,136,100,Input,1,On1A1,,
258,136,100,Exit,1,MagEntry,1,
259,136,100,Entry,2,ITI2sec,,
260,136,435,Input,33,Off1A1,,
261,136,465,Input,1,On1A1,,
262,137,100,Exit,2,ITI2sec,Time,
263,137,100,List,,ITItime,   25,000,
264,137,100,Entry,25,sec4,,
265,137,100,Reg,21,stage4,    3,000,
266,137,130,Input,33,Off1A1,,
267,137,405,Input,1,On1A1,,
268,138,070,Input,33,Off1A1,,
269,141,105,Exit,25,sec4,Time,
270,141,105,Entry,3,RandomHole,,
271,142,105,Exit,3,RandomHole,Time,
272,142,105,List,,Pseudo1a5,    6,000,
273,142,105,Entry,6,hole1,,
274,142,105,Reg,11,HoleNumber,    1,000,
275,142,690,Input,2,On1A2,,
276,142,690,Exit,6,hole1,2,
277,142,690,Entry,17,CorrectResp,,
278,142,690,Reg,3,ComptCR,    5,000,
279,142,690,Reg,6,Reward,    5,000,
280,142,690,Reg,7,CptReward,    5,000,
281,142,690,Reg,1,ComptOmision,    0,000,
282,142,695,Exit,17,CorrectResp,Time,
283,142,695,Entry,1,MagEntry,,
284,142,695,Reg,2,ComptNbessai,   10,000,
285,142,695,Reg,12,Accuracy,   83,333,
286,142,695,Reg,13,Omission,    0,000,
287,143,025,Input,34,Off1A2,,
288,143,850,Input,1,On1A1,,
289,143,850,Exit,1,MagEntry,1,
290,143,850,Entry,2,ITI2sec,,
291,144,850,Exit,2,ITI2sec,Time,
292,144,850,List,,ITItime,   23,000,
293,144,850,Entry,23,sec3,,
294,144,850,Reg,20,stage3,    3,000,
295,145,495,Input,33,Off1A1,,
296,148,025,Input,2,On1A2,,
297,148,025,Exit,23,sec3,2,
298,148,025,Entry,24,prematuresec7,,
299,148,025,Reg,16,premsec3,    2,000,
300,148,035,Exit,24,prematuresec7,Time,
301,148,035,Entry,4,Premature,,
302,148,035,Reg,5,ComptPremat,    4,000,
303,148,040,Exit,4,Premature,Time,
304,148,040,Entry,5,TimeOut,,
305,148,360,Input,34,Off1A2,,
306,148,960,Input,2,On1A2,,
307,148,960,Input,3,On1A3,,
308,149,295,Input,34,Off1A2,,
309,149,295,Input,35,Off1A3,,
310,151,355,Input,1,On1A1,,
311,152,675,Input,33,Off1A1,,
312,153,045,Exit,5,TimeOut,Time,
313,153,045,Entry,1,MagEntry,,
314,153,045,Reg,2,ComptNbessai,   11,000,
315,153,045,Reg,12,Accuracy,   83,333,
316,153,045,Reg,13,Omission,    0,000,
317,159,790,Input,1,On1A1,,
318,159,790,Exit,1,MagEntry,1,
319,159,790,Entry,2,ITI2sec,,
320,160,130,Input,33,Off1A1,,
321,160,220,Input,1,On1A1,,
322,160,790,Exit,2,ITI2sec,Time,
323,160,790,List,,ITItime,   21,000,
324,160,790,Entry,21,sec2,,
325,160,790,Reg,19,stage2,    3,000,
326,160,885,Input,33,Off1A1,,
327,166,735,Input,1,On1A1,,
328,166,795,Exit,21,sec2,Time,
329,166,795,Entry,3,RandomHole,,
330,167,400,Input,33,Off1A1,,
331,167,795,Exit,3,RandomHole,Time,
332,167,795,List,,Pseudo1a5,   10,000,
333,167,795,Entry,10,hole3,,
334,167,795,Reg,11,HoleNumber,    3,000,
335,168,795,Exit,10,hole3,Time,
336,168,795,Entry,11,Holdhole3,,
337,168,845,Input,4,On1A4,,
338,168,845,Exit,11,Holdhole3,4,
339,168,845,Entry,18,IncorrectResp,,
340,168,845,Reg,4,ComptIncR,    2,000,
341,168,845,Reg,1,ComptOmision,    0,000,
342,168,855,Exit,18,IncorrectResp,Time,
343,168,855,Entry,5,TimeOut,,
344,169,511,Input,36,Off1A4,,
345,169,645,Input,2,On1A2,,
346,169,980,Input,34,Off1A2,,
347,173,860,Exit,5,TimeOut,Time,
348,173,860,Entry,1,MagEntry,,
349,173,860,Reg,2,ComptNbessai,   12,000,
350,173,860,Reg,12,Accuracy,   71,429,
351,173,860,Reg,13,Omission,    0,000,
352,174,890,Input,1,On1A1,,
353,174,890,Exit,1,MagEntry,1,
354,174,890,Entry,2,ITI2sec,,
355,175,565,Input,33,Off1A1,,
356,175,890,Exit,2,ITI2sec,Time,
357,175,890,List,,ITItime,   19,000,
358,175,890,Entry,19,sec5,,
359,175,890,Reg,18,stage1,    3,000,
360,180,895,Exit,19,sec5,Time,
361,180,895,Entry,3,RandomHole,,
362,181,895,Exit,3,RandomHole,Time,
363,181,895,List,,Pseudo1a5,   12,000,
364,181,895,Entry,12,hole4,,
365,181,895,Reg,11,HoleNumber,    4,000,
366,182,445,Input,1,On1A1,,
367,182,895,Exit,12,hole4,Time,
368,182,895,Entry,13,Holdhole4,,
369,183,110,Input,33,Off1A1,,
370,183,275,Input,1,On1A1,,
371,183,895,Exit,13,Holdhole4,Time,
372,183,895,Entry,16,Omission,,
373,183,895,Reg,1,ComptOmision,    1,000,
374,183,895,Reg,8,Omision,    1,000,
375,183,905,Exit,16,Omission,Time,
376,183,905,Entry,5,TimeOut,,
377,183,940,Input,33,Off1A1,,
378,183,990,Input,1,On1A1,,
379,184,330,Input,33,Off1A1,,
380,184,495,Input,1,On1A1,,
381,185,160,Input,33,Off1A1,,
382,188,910,Exit,5,TimeOut,Time,
383,188,910,Entry,1,MagEntry,,
384,188,910,Reg,2,ComptNbessai,   13,000,
385,188,910,Reg,12,Accuracy,   71,429,
386,188,910,Reg,13,Omission,    7,692,
387,189,755,Input,1,On1A1,,
388,189,755,Exit,1,MagEntry,1,
389,189,755,Entry,2,ITI2sec,,
390,190,755,Exit,2,ITI2sec,Time,
391,190,755,List,,ITItime,   21,000,
392,190,755,Entry,21,sec2,,
393,190,755,Reg,19,stage2,    4,000,
394,191,070,Input,33,Off1A1,,
395,194,640,Input,2,On1A2,,
396,194,640,Exit,21,sec2,2,
397,194,640,Entry,22,prematuresec6,,
398,194,640,Reg,15,premsec2,    2,000,
399,194,645,Exit,22,prematuresec6,Time,
400,194,645,Entry,4,Premature,,
401,194,645,Reg,5,ComptPremat,    5,000,
402,194,650,Exit,4,Premature,Time,
403,194,650,Entry,5,TimeOut,,
404,194,980,Input,34,Off1A2,,
405,199,655,Exit,5,TimeOut,Time,
406,199,655,Entry,1,MagEntry,,
407,199,655,Reg,2,ComptNbessai,   14,000,
408,199,655,Reg,12,Accuracy,   71,429,
409,199,655,Reg,13,Omission,    7,143,
410,199,865,Input,3,On1A3,,
411,199,865,Input,4,On1A4,,
412,200,205,Input,35,Off1A3,,
413,200,205,Input,36,Off1A4,,
414,205,390,Input,1,On1A1,,
415,205,390,Exit,1,MagEntry,1,
416,205,390,Entry,2,ITI2sec,,
417,206,380,Input,33,Off1A1,,
418,206,390,Exit,2,ITI2sec,Time,
419,206,390,List,,ITItime,   25,000,
