,,Subject,,,292,
,,Protocol,,,IRTT_long,
,,Type,,,Master,
,,Channel,,,0,
,,Master,,,,
,,Date,,,2023-07-20,
,,Time,,,09:54:37,470,
,,Clock,,,5,
,,Time Warp,,,1x,
0,0,000,Start,,,,
1,0,000,Entry,0,Ready,,
2,0,005,Exit,0,Ready,Time,
3,0,005,Entry,1,MagEntry,,
4,0,005,Reg,2,ComptNbessai,    1,000,
5,0,005,Reg,12,Accuracy,      NaN,
6,0,005,Reg,13,Omission,    0,000,
7,7,240,Input,1,On1A1,,
8,7,240,Exit,1,MagEntry,1,
9,7,240,Entry,2,ITI2sec,,
10,7,580,Input,33,Off1A1,,
11,8,240,Exit,2,ITI2sec,Time,
12,8,240,List,,ITItime,   25,000,
13,8,240,Entry,25,sec4,,
14,8,240,Reg,21,stage4,    1,000,
15,12,241,Exit,25,sec4,Time,
16,12,241,Entry,3,RandomHole,,
17,13,245,Exit,3,RandomHole,Time,
18,13,245,List,,Pseudo1a5,   12,000,
19,13,245,Entry,12,hole4,,
20,13,245,Reg,11,HoleNumber,    4,000,
21,13,985,Input,2,On1A2,,
22,13,985,Input,3,On1A3,,
23,13,985,Exit,12,hole4,3,
24,13,985,Entry,17,CorrectResp,,
25,13,985,Reg,3,ComptCR,    1,000,
26,13,985,Reg,6,Reward,    1,000,
27,13,985,Reg,7,CptReward,    1,000,
28,13,985,Reg,1,ComptOmision,    0,000,
29,13,990,Exit,17,CorrectResp,Time,
30,13,990,Entry,1,MagEntry,,
31,13,990,Reg,2,ComptNbessai,    2,000,
32,13,990,Reg,12,Accuracy,  100,000,
33,13,990,Reg,13,Omission,    0,000,
34,14,325,Input,34,Off1A2,,
35,14,325,Input,35,Off1A3,,
36,14,495,Input,2,On1A2,,
37,14,495,Input,3,On1A3,,
38,15,805,Input,34,Off1A2,,
39,15,810,Input,35,Off1A3,,
40,19,125,Input,1,On1A1,,
41,19,125,Exit,1,MagEntry,1,
42,19,125,Entry,2,ITI2sec,,
43,20,110,Input,33,Off1A1,,
44,20,125,Exit,2,ITI2sec,Time,
45,20,125,List,,ITItime,   21,000,
46,20,125,Entry,21,sec2,,
47,20,125,Reg,19,stage2,    1,000,
48,26,130,Exit,21,sec2,Time,
49,26,130,Entry,3,RandomHole,,
50,27,130,Exit,3,RandomHole,Time,
51,27,130,List,,Pseudo1a5,   10,000,
52,27,130,Entry,10,hole3,,
53,27,130,Reg,11,HoleNumber,    3,000,
54,28,130,Exit,10,hole3,Time,
55,28,130,Entry,11,Holdhole3,,
56,28,750,Input,4,On1A4,,
57,28,750,Exit,11,Holdhole3,4,
58,28,750,Entry,18,IncorrectResp,,
59,28,750,Reg,4,ComptIncR,    1,000,
60,28,750,Reg,1,ComptOmision,    0,000,
61,28,760,Exit,18,IncorrectResp,Time,
62,28,760,Entry,5,TimeOut,,
63,29,740,Input,36,Off1A4,,
64,33,765,Exit,5,TimeOut,Time,
65,33,765,Entry,1,MagEntry,,
66,33,765,Reg,2,ComptNbessai,    3,000,
67,33,765,Reg,12,Accuracy,   50,000,
68,33,765,Reg,13,Omission,    0,000,
69,39,870,Input,3,On1A3,,
70,39,870,Input,4,On1A4,,
71,40,535,Input,35,Off1A3,,
72,40,535,Input,36,Off1A4,,
73,52,235,Input,1,On1A1,,
74,52,235,Exit,1,MagEntry,1,
75,52,235,Entry,2,ITI2sec,,
76,52,570,Input,33,Off1A1,,
77,52,575,Input,1,On1A1,,
78,52,910,Input,33,Off1A1,,
79,53,235,Exit,2,ITI2sec,Time,
80,53,235,List,,ITItime,   19,000,
81,53,235,Entry,19,sec5,,
82,53,235,Reg,18,stage1,    1,000,
83,56,390,Input,3,On1A3,,
84,56,390,Exit,19,sec5,3,
85,56,390,Entry,20,prematuresec5,,
86,56,390,Reg,14,premsec1,    1,000,
87,56,395,Exit,20,prematuresec5,Time,
88,56,395,Entry,4,Premature,,
89,56,395,Reg,5,ComptPremat,    1,000,
90,56,400,Exit,4,Premature,Time,
91,56,400,Entry,5,TimeOut,,
92,57,381,Input,35,Off1A3,,
93,60,495,Input,1,On1A1,,
94,60,835,Input,33,Off1A1,,
95,61,200,Input,1,On1A1,,
96,61,405,Exit,5,TimeOut,Time,
97,61,405,Entry,1,MagEntry,,
98,61,405,Reg,2,ComptNbessai,    4,000,
99,61,405,Reg,12,Accuracy,   50,000,
100,61,405,Reg,13,Omission,    0,000,
101,61,860,Input,33,Off1A1,,
102,66,225,Input,1,On1A1,,
103,66,225,Exit,1,MagEntry,1,
104,66,225,Entry,2,ITI2sec,,
105,66,560,Input,33,Off1A1,,
106,67,225,Exit,2,ITI2sec,Time,
107,67,225,List,,ITItime,   23,000,
108,67,225,Entry,23,sec3,,
109,67,225,Reg,20,stage3,    1,000,
110,68,030,Input,1,On1A1,,
111,68,695,Input,33,Off1A1,,
112,69,095,Input,1,On1A1,,
113,69,435,Input,33,Off1A1,,
114,73,250,Input,2,On1A2,,
115,73,250,Input,3,On1A3,,
116,73,250,Exit,23,sec3,2,
117,73,250,Entry,24,prematuresec7,,
118,73,250,Reg,16,premsec3,    1,000,
119,73,260,Exit,24,prematuresec7,Time,
120,73,260,Entry,4,Premature,,
121,73,260,Reg,5,ComptPremat,    2,000,
122,73,265,Exit,4,Premature,Time,
123,73,265,Entry,5,TimeOut,,
124,74,560,Input,34,Off1A2,,
125,74,560,Input,35,Off1A3,,
126,74,715,Input,3,On1A3,,
127,74,715,Input,4,On1A4,,
128,76,030,Input,35,Off1A3,,
129,76,030,Input,36,Off1A4,,
130,78,270,Exit,5,TimeOut,Time,
131,78,270,Entry,1,MagEntry,,
132,78,270,Reg,2,ComptNbessai,    5,000,
133,78,270,Reg,12,Accuracy,   50,000,
134,78,270,Reg,13,Omission,    0,000,
135,78,920,Input,1,On1A1,,
136,78,920,Exit,1,MagEntry,1,
137,78,920,Entry,2,ITI2sec,,
138,79,260,Input,33,Off1A1,,
139,79,650,Input,1,On1A1,,
140,79,920,Exit,2,ITI2sec,Time,
141,79,920,List,,ITItime,   25,000,
142,79,920,Entry,25,sec4,,
143,79,920,Reg,21,stage4,    2,000,
144,79,985,Input,33,Off1A1,,
145,80,260,Input,1,On1A1,,
146,80,595,Input,33,Off1A1,,
147,82,775,Input,2,On1A2,,
148,82,775,Exit,25,sec4,2,
149,82,775,Entry,26,prematuresec8,,
150,82,775,Reg,17,premsec4,    1,000,
151,82,780,Exit,26,prematuresec8,Time,
152,82,780,Entry,4,Premature,,
153,82,780,Reg,5,ComptPremat,    3,000,
154,82,785,Exit,4,Premature,Time,
155,82,785,Entry,5,TimeOut,,
156,85,390,Input,34,Off1A2,,
157,85,510,Input,2,On1A2,,
158,86,500,Input,34,Off1A2,,
159,86,745,Input,3,On1A3,,
160,87,085,Input,35,Off1A3,,
161,87,275,Input,4,On1A4,,
162,87,790,Exit,5,TimeOut,Time,
163,87,790,Entry,1,MagEntry,,
164,87,790,Reg,2,ComptNbessai,    6,000,
165,87,790,Reg,12,Accuracy,   50,000,
166,87,790,Reg,13,Omission,    0,000,
167,88,265,Input,36,Off1A4,,
168,88,295,Input,2,On1A2,,
169,88,295,Input,3,On1A3,,
170,88,630,Input,34,Off1A2,,
171,88,630,Input,35,Off1A3,,
172,89,815,Input,1,On1A1,,
173,89,815,Exit,1,MagEntry,1,
174,89,815,Entry,2,ITI2sec,,
175,90,800,Input,33,Off1A1,,
176,90,815,Exit,2,ITI2sec,Time,
177,90,815,List,,ITItime,   19,000,
178,90,815,Entry,19,sec5,,
179,90,815,Reg,18,stage1,    2,000,
180,91,015,Input,1,On1A1,,
181,91,355,Input,33,Off1A1,,
182,91,590,Input,1,On1A1,,
183,91,925,Input,33,Off1A1,,
184,93,125,Input,1,On1A1,,
185,93,460,Input,33,Off1A1,,
186,95,820,Exit,19,sec5,Time,
187,95,820,Entry,3,RandomHole,,
188,96,820,Exit,3,RandomHole,Time,
189,96,820,List,,Pseudo1a5,   14,000,
190,96,820,Entry,14,hole5,,
191,96,820,Reg,11,HoleNumber,    5,000,
192,97,170,Input,3,On1A3,,
193,97,170,Input,4,On1A4,,
194,97,170,Exit,14,hole5,4,
195,97,170,Entry,17,CorrectResp,,
196,97,170,Reg,3,ComptCR,    2,000,
197,97,170,Reg,6,Reward,    2,000,
198,97,170,Reg,7,CptReward,    2,000,
199,97,170,Reg,1,ComptOmision,    0,000,
200,97,175,Exit,17,CorrectResp,Time,
201,97,175,Entry,1,MagEntry,,
202,97,175,Reg,2,ComptNbessai,    7,000,
203,97,175,Reg,12,Accuracy,   66,667,
204,97,175,Reg,13,Omission,    0,000,
205,98,480,Input,35,Off1A3,,
206,98,480,Input,36,Off1A4,,
207,99,535,Input,1,On1A1,,
208,99,535,Exit,1,MagEntry,1,
209,99,535,Entry,2,ITI2sec,,
210,100,520,Input,33,Off1A1,,
211,100,535,Exit,2,ITI2sec,Time,
212,100,535,List,,ITItime,   23,000,
213,100,535,Entry,23,sec3,,
214,100,535,Reg,20,stage3,    2,000,
215,104,060,Input,2,On1A2,,
216,104,060,Exit,23,sec3,2,
217,104,060,Entry,24,prematuresec7,,
218,104,060,Reg,16,premsec3,    2,000,
219,104,070,Exit,24,prematuresec7,Time,
220,104,070,Entry,4,Premature,,
221,104,070,Reg,5,ComptPremat,    4,000,
222,104,075,Exit,4,Premature,Time,
223,104,075,Entry,5,TimeOut,,
224,104,395,Input,34,Off1A2,,
225,106,300,Input,1,On1A1,,
226,106,635,Input,33,Off1A1,,
227,106,855,Input,1,On1A1,,
228,107,190,Input,33,Off1A1,,
229,108,480,Input,3,On1A3,,
230,108,480,Input,4,On1A4,,
231,109,080,Exit,5,TimeOut,Time,
232,109,080,Entry,1,MagEntry,,
233,109,080,Reg,2,ComptNbessai,    8,000,
234,109,080,Reg,12,Accuracy,   66,667,
235,109,080,Reg,13,Omission,    0,000,
236,109,470,Input,35,Off1A3,,
237,109,470,Input,36,Off1A4,,
238,111,095,Input,4,On1A4,,
239,112,400,Input,3,On1A3,,
240,112,405,Input,36,Off1A4,,
241,113,055,Input,35,Off1A3,,
242,113,175,Input,2,On1A2,,
243,114,490,Input,34,Off1A2,,
244,115,175,Input,1,On1A1,,
245,115,175,Exit,1,MagEntry,1,
246,115,175,Entry,2,ITI2sec,,
247,115,515,Input,33,Off1A1,,
248,115,770,Input,1,On1A1,,
