,,Subject,,,293,
,,Protocol,,,IRTT_long,
,,Type,,,Master,
,,Channel,,,2,
,,Master,,,,
,,Date,,,2023-07-20,
,,Time,,,09:55:11,439,
,,Clock,,,5,
,,Time Warp,,,1x,
0,0,000,Start,,,,
1,0,000,Entry,0,Ready,,
2,0,005,Exit,0,Ready,Time,
3,0,005,Entry,1,MagEntry,,
4,0,005,Reg,2,ComptNbessai,    1,000,
5,0,005,Reg,12,Accuracy,      NaN,
6,0,005,Reg,13,Omission,    0,000,
7,6,515,Input,1,On1A1,,
8,6,515,Exit,1,MagEntry,1,
9,6,515,Entry,2,ITI2sec,,
10,6,855,Input,33,Off1A1,,
11,7,515,Exit,2,ITI2sec,Time,
12,7,515,List,,ITItime,   21,000,
13,7,515,Entry,21,sec2,,
14,7,515,Reg,19,stage2,    1,000,
15,13,520,Exit,21,sec2,Time,
16,13,520,Entry,3,RandomHole,,
17,14,520,Exit,3,RandomHole,Time,
18,14,520,List,,Pseudo1a5,   10,000,
19,14,520,Entry,10,hole3,,
20,14,520,Reg,11,HoleNumber,    3,000,
21,15,520,Exit,10,hole3,Time,
22,15,520,Entry,11,Holdhole3,,
23,16,495,Input,2,On1A2,,
24,16,495,Input,3,On1A3,,
25,16,495,Exit,11,Holdhole3,3,
26,16,495,Entry,18,IncorrectResp,,
27,16,495,Reg,4,ComptIncR,    1,000,
28,16,495,Reg,1,ComptOmision,    0,000,
29,16,505,Exit,18,IncorrectResp,Time,
30,16,505,Entry,5,TimeOut,,
31,16,835,Input,34,Off1A2,,
32,16,835,Input,35,Off1A3,,
33,17,140,Input,3,On1A3,,
34,17,140,Input,4,On1A4,,
35,17,480,Input,35,Off1A3,,
36,17,480,Input,36,Off1A4,,
37,18,995,Input,1,On1A1,,
38,19,335,Input,33,Off1A1,,
39,21,510,Exit,5,TimeOut,Time,
40,21,510,Entry,1,MagEntry,,
41,21,510,Reg,2,ComptNbessai,    2,000,
42,21,510,Reg,12,Accuracy,    0,000,
43,21,510,Reg,13,Omission,    0,000,
44,22,205,Input,2,On1A2,,
45,22,545,Input,34,Off1A2,,
46,24,615,Input,1,On1A1,,
47,24,615,Exit,1,MagEntry,1,
48,24,615,Entry,2,ITI2sec,,
49,25,275,Input,33,Off1A1,,
50,25,615,Exit,2,ITI2sec,Time,
51,25,615,List,,ITItime,   25,000,
52,25,615,Entry,25,sec4,,
53,25,615,Reg,21,stage4,    1,000,
54,26,910,Input,2,On1A2,,
55,26,910,Exit,25,sec4,2,
56,26,910,Entry,26,prematuresec8,,
57,26,910,Reg,17,premsec4,    1,000,
58,26,915,Exit,26,prematuresec8,Time,
59,26,915,Entry,4,Premature,,
60,26,915,Reg,5,ComptPremat,    1,000,
61,26,920,Exit,4,Premature,Time,
62,26,920,Entry,5,TimeOut,,
63,27,250,Input,34,Off1A2,,
64,28,855,Input,2,On1A2,,
65,29,190,Input,34,Off1A2,,
66,31,200,Input,1,On1A1,,
67,31,865,Input,33,Off1A1,,
68,31,925,Exit,5,TimeOut,Time,
69,31,925,Entry,1,MagEntry,,
70,31,925,Reg,2,ComptNbessai,    3,000,
71,31,925,Reg,12,Accuracy,    0,000,
72,31,925,Reg,13,Omission,    0,000,
73,32,930,Input,1,On1A1,,
74,32,930,Exit,1,MagEntry,1,
75,32,930,Entry,2,ITI2sec,,
76,33,595,Input,33,Off1A1,,
77,33,930,Exit,2,ITI2sec,Time,
78,33,930,List,,ITItime,   23,000,
79,33,930,Entry,23,sec3,,
80,33,930,Reg,20,stage3,    1,000,
81,35,730,Input,2,On1A2,,
82,35,730,Exit,23,sec3,2,
83,35,730,Entry,24,prematuresec7,,
84,35,730,Reg,16,premsec3,    1,000,
85,35,740,Exit,24,prematuresec7,Time,
86,35,740,Entry,4,Premature,,
87,35,740,Reg,5,ComptPremat,    2,000,
88,35,745,Exit,4,Premature,Time,
89,35,745,Entry,5,TimeOut,,
90,36,070,Input,34,Off1A2,,
91,40,750,Exit,5,TimeOut,Time,
92,40,750,Entry,1,MagEntry,,
93,40,750,Reg,2,ComptNbessai,    4,000,
94,40,750,Reg,12,Accuracy,    0,000,
95,40,750,Reg,13,Omission,    0,000,
96,42,150,Input,1,On1A1,,
97,42,150,Exit,1,MagEntry,1,
98,42,150,Entry,2,ITI2sec,,
99,42,485,Input,33,Off1A1,,
100,43,150,Exit,2,ITI2sec,Time,
101,43,150,List,,ITItime,   19,000,
102,43,150,Entry,19,sec5,,
103,43,150,Reg,18,stage1,    1,000,
104,47,830,Input,3,On1A3,,
105,47,830,Input,4,On1A4,,
106,47,830,Exit,19,sec5,3,
107,47,830,Entry,20,prematuresec5,,
108,47,830,Reg,14,premsec1,    1,000,
109,47,835,Exit,20,prematuresec5,Time,
110,47,835,Entry,4,Premature,,
111,47,835,Reg,5,ComptPremat,    3,000,
112,47,840,Exit,4,Premature,Time,
113,47,840,Entry,5,TimeOut,,
114,48,165,Input,35,Off1A3,,
115,48,165,Input,36,Off1A4,,
116,48,390,Input,3,On1A3,,
117,48,390,Input,4,On1A4,,
118,48,730,Input,35,Off1A3,,
119,48,730,Input,36,Off1A4,,
120,52,845,Exit,5,TimeOut,Time,
121,52,845,Entry,1,MagEntry,,
122,52,845,Reg,2,ComptNbessai,    5,000,
123,52,845,Reg,12,Accuracy,    0,000,
124,52,845,Reg,13,Omission,    0,000,
125,65,345,Input,2,On1A2,,
126,65,685,Input,34,Off1A2,,
127,70,135,Input,1,On1A1,,
128,70,135,Exit,1,MagEntry,1,
129,70,135,Entry,2,ITI2sec,,
130,70,470,Input,33,Off1A1,,
131,71,136,Exit,2,ITI2sec,Time,
132,71,136,List,,ITItime,   21,000,
133,71,136,Entry,21,sec2,,
134,71,136,Reg,19,stage2,    2,000,
135,74,955,Input,2,On1A2,,
136,74,955,Exit,21,sec2,2,
137,74,955,Entry,22,prematuresec6,,
138,74,955,Reg,15,premsec2,    1,000,
139,74,960,Exit,22,prematuresec6,Time,
140,74,960,Entry,4,Premature,,
141,74,960,Reg,5,ComptPremat,    4,000,
142,74,965,Exit,4,Premature,Time,
143,74,965,Entry,5,TimeOut,,
144,75,290,Input,34,Off1A2,,
145,75,690,Input,3,On1A3,,
146,76,355,Input,35,Off1A3,,
147,76,615,Input,4,On1A4,,
148,76,955,Input,36,Off1A4,,
149,79,970,Exit,5,TimeOut,Time,
150,79,970,Entry,1,MagEntry,,
151,79,970,Reg,2,ComptNbessai,    6,000,
152,79,970,Reg,12,Accuracy,    0,000,
153,79,970,Reg,13,Omission,    0,000,
154,79,985,Input,2,On1A2,,
155,80,320,Input,34,Off1A2,,
156,80,985,Input,1,On1A1,,
157,80,985,Exit,1,MagEntry,1,
158,80,985,Entry,2,ITI2sec,,
159,81,320,Input,33,Off1A1,,
160,81,985,Exit,2,ITI2sec,Time,
161,81,985,List,,ITItime,   25,000,
162,81,985,Entry,25,sec4,,
163,81,985,Reg,21,stage4,    2,000,
164,83,635,Input,33,Off1A1,,
165,84,840,Input,3,On1A3,,
166,84,840,Input,4,On1A4,,
167,84,840,Exit,25,sec4,3,
168,84,840,Entry,26,prematuresec8,,
169,84,840,Reg,17,premsec4,    2,000,
170,84,845,Exit,26,prematuresec8,Time,
171,84,845,Entry,4,Premature,,
172,84,845,Reg,5,ComptPremat,    5,000,
173,84,850,Exit,4,Premature,Time,
174,84,850,Entry,5,TimeOut,,
175,85,830,Input,35,Off1A3,,
176,85,830,Input,36,Off1A4,,
177,89,855,Input,2,On1A2,,
178,89,855,Input,3,On1A3,,
179,89,855,Exit,5,TimeOut,Time,
180,89,855,Entry,1,MagEntry,,
181,89,855,Reg,2,ComptNbessai,    7,000,
182,89,855,Reg,12,Accuracy,    0,000,
183,89,855,Reg,13,Omission,    0,000,
184,90,190,Input,34,Off1A2,,
185,90,190,Input,35,Off1A3,,
186,90,230,Input,4,On1A4,,
187,90,565,Input,36,Off1A4,,
188,96,240,Input,1,On1A1,,
189,96,240,Exit,1,MagEntry,1,
190,96,240,Entry,2,ITI2sec,,
191,97,230,Input,33,Off1A1,,
192,97,240,Exit,2,ITI2sec,Time,
193,97,240,List,,ITItime,   23,000,
194,97,240,Entry,23,sec3,,
195,97,240,Reg,20,stage3,    2,000,
196,103,485,Input,3,On1A3,,
197,103,485,Input,4,On1A4,,
198,103,485,Exit,23,sec3,3,
199,103,485,Entry,24,prematuresec7,,
200,103,485,Reg,16,premsec3,    2,000,
201,103,495,Exit,24,prematuresec7,Time,
202,103,495,Entry,4,Premature,,
203,103,495,Reg,5,ComptPremat,    6,000,
204,103,500,Exit,4,Premature,Time,
205,103,500,Entry,5,TimeOut,,
206,103,820,Input,35,Off1A3,,
207,103,820,Input,36,Off1A4,,
208,108,505,Exit,5,TimeOut,Time,
209,108,505,Entry,1,MagEntry,,
210,108,505,Reg,2,ComptNbessai,    8,000,
211,108,505,Reg,12,Accuracy,    0,000,
212,108,505,Reg,13,Omission,    0,000,
213,108,795,Input,2,On1A2,,
214,109,130,Input,34,Off1A2,,
215,110,405,Input,2,On1A2,,
216,110,746,Input,34,Off1A2,,
217,117,680,Input,1,On1A1,,
218,117,680,Exit,1,MagEntry,1,
219,117,680,Entry,2,ITI2sec,,
220,118,670,Input,33,Off1A1,,
221,118,680,Exit,2,ITI2sec,Time,
222,118,680,List,,ITItime,   19,000,
223,118,680,Entry,19,sec5,,
224,118,680,Reg,18,stage1,    2,000,
225,121,150,Input,2,On1A2,,
226,121,150,Exit,19,sec5,2,
227,121,150,Entry,20,prematuresec5,,
228,121,150,Reg,14,premsec1,    2,000,
229,121,155,Exit,20,prematuresec5,Time,
230,121,155,Entry,4,Premature,,
231,121,155,Reg,5,ComptPremat,    7,000,
232,121,160,Exit,4,Premature,Time,
233,121,160,Entry,5,TimeOut,,
234,121,490,Input,34,Off1A2,,
235,126,165,Exit,5,TimeOut,Time,
236,126,165,Entry,1,MagEntry,,
237,126,165,Reg,2,ComptNbessai,    9,000,
238,126,165,Reg,12,Accuracy,    0,000,
239,126,165,Reg,13,Omission,    0,000,
240,128,095,Input,1,On1A1,,
241,128,095,Exit,1,MagEntry,1,
242,128,095,Entry,2,ITI2sec,,
243,128,430,Input,33,Off1A1,,
244,129,095,Exit,2,ITI2sec,Time,
245,129,095,List,,ITItime,   23,000,
246,129,095,Entry,23,sec3,,
247,129,095,Reg,20,stage3,    3,000,
248,131,800,Input,2,On1A2,,
249,131,800,Input,3,On1A3,,
250,131,800,Exit,23,sec3,2,
251,131,800,Entry,24,prematuresec7,,
252,131,800,Reg,16,premsec3,    3,000,
253,131,810,Exit,24,prematuresec7,Time,
254,131,810,Entry,4,Premature,,
255,131,810,Reg,5,ComptPremat,    8,000,
256,131,815,Exit,4,Premature,Time,
257,131,815,Entry,5,TimeOut,,
258,132,135,Input,34,Off1A2,,
259,132,135,Input,35,Off1A3,,
260,134,105,Input,1,On1A1,,
261,134,440,Input,33,Off1A1,,
262,134,460,Input,1,On1A1,,
263,134,800,Input,33,Off1A1,,
264,135,040,Input,1,On1A1,,
265,135,375,Input,33,Off1A1,,
266,136,795,Input,1,On1A1,,
267,136,820,Exit,5,TimeOut,Time,
268,136,820,Entry,1,MagEntry,,
269,136,820,Reg,2,ComptNbessai,   10,000,
270,136,820,Reg,12,Accuracy,    0,000,
271,136,820,Reg,13,Omission,    0,000,
272,137,135,Input,33,Off1A1,,
273,140,770,Input,1,On1A1,,
274,140,770,Exit,1,MagEntry,1,
275,140,770,Entry,2,ITI2sec,,
276,141,435,Input,33,Off1A1,,
277,141,771,Exit,2,ITI2sec,Time,
278,141,771,List,,ITItime,   21,000,
279,141,771,Entry,21,sec2,,
280,141,771,Reg,19,stage2,    3,000,
281,141,980,Input,1,On1A1,,
282,142,970,Input,33,Off1A1,,
283,147,775,Exit,21,sec2,Time,
284,147,775,Entry,3,RandomHole,,
285,148,775,Exit,3,RandomHole,Time,
286,148,775,List,,Pseudo1a5,    8,000,
287,148,775,Entry,8,hole2,,
288,148,775,Reg,11,HoleNumber,    2,000,
289,149,645,Input,4,On1A4,,
290,149,645,Exit,8,hole2,4,
291,149,645,Entry,18,IncorrectResp,,
292,149,645,Reg,4,ComptIncR,    2,000,
293,149,645,Reg,1,ComptOmision,    0,000,
294,149,655,Exit,18,IncorrectResp,Time,
295,149,655,Entry,5,TimeOut,,
296,149,980,Input,36,Off1A4,,
297,154,660,Exit,5,TimeOut,Time,
298,154,660,Entry,1,MagEntry,,
299,154,660,Reg,2,ComptNbessai,   11,000,
300,154,660,Reg,12,Accuracy,    0,000,
301,154,660,Reg,13,Omission,    0,000,
302,155,875,Input,1,On1A1,,
303,155,875,Exit,1,MagEntry,1,
304,155,875,Entry,2,ITI2sec,,
305,156,215,Input,33,Off1A1,,
306,156,780,Input,1,On1A1,,
307,156,875,Exit,2,ITI2sec,Time,
308,156,875,List,,ITItime,   19,000,
309,156,875,Entry,19,sec5,,
310,156,875,Reg,18,stage1,    3,000,
311,157,120,Input,33,Off1A1,,
312,158,375,Input,3,On1A3,,
313,158,375,Input,4,On1A4,,
314,158,375,Exit,19,sec5,3,
315,158,375,Entry,20,prematuresec5,,
316,158,375,Reg,14,premsec1,    3,000,
317,158,380,Exit,20,prematuresec5,Time,
318,158,380,Entry,4,Premature,,
319,158,380,Reg,5,ComptPremat,    9,000,
320,158,385,Exit,4,Premature,Time,
321,158,385,Entry,5,TimeOut,,
322,159,035,Input,35,Off1A3,,
323,159,035,Input,36,Off1A4,,
324,161,080,Input,1,On1A1,,
325,161,420,Input,33,Off1A1,,
326,162,080,Input,2,On1A2,,
327,162,415,Input,34,Off1A2,,
328,163,390,Exit,5,TimeOut,Time,
329,163,390,Entry,1,MagEntry,,
330,163,390,Reg,2,ComptNbessai,   12,000,
331,163,390,Reg,12,Accuracy,    0,000,
332,163,390,Reg,13,Omission,    0,000,
333,166,585,Input,2,On1A2,,
334,166,920,Input,34,Off1A2,,
335,167,855,Input,3,On1A3,,
336,167,855,Input,4,On1A4,,
337,168,190,Input,35,Off1A3,,
338,168,190,Input,36,Off1A4,,
339,171,345,Input,1,On1A1,,
340,171,345,Exit,1,MagEntry,1,
341,171,345,Entry,2,ITI2sec,,
342,171,685,Input,33,Off1A1,,
343,171,700,Input,1,On1A1,,
344,172,345,Exit,2,ITI2sec,Time,
345,172,345,List,,ITItime,   25,000,
346,172,345,Entry,25,sec4,,
347,172,345,Reg,21,stage4,    3,000,
348,173,015,Input,33,Off1A1,,
349,173,240,Input,1,On1A1,,
350,173,580,Input,33,Off1A1,,
351,176,350,Exit,25,sec4,Time,
352,176,350,Entry,3,RandomHole,,
353,177,350,Exit,3,RandomHole,Time,
354,177,350,List,,Pseudo1a5,    6,000,
355,177,350,Entry,6,hole1,,
356,177,350,Reg,11,HoleNumber,    1,000,
357,177,460,Input,2,On1A2,,
358,177,460,Exit,6,hole1,2,
